iter	RMSE
0	0.6618638104
1	0.6165647368
2	0.5803152484
3	0.551622711
4	0.5294370874
5	0.5118986567
6	0.4985097935
7	0.4881966976
8	0.4800153203
9	0.4736435865
10	0.4685351845
11	0.4641550769
12	0.4607519444
13	0.4579893018
14	0.4556205699
15	0.4536983606
16	0.4521520426
17	0.4507779544
18	0.4493472943
19	0.447718203
20	0.4468993536
21	0.4458789
22	0.4447497201
23	0.4438210752
24	0.4431547766
25	0.4426379649
26	0.4417932064
27	0.4412277007
28	0.4405383725
29	0.4400823554
30	0.4396255374
31	0.4392818127
32	0.4386685792
33	0.4382796375
34	0.4374620152
35	0.4371327431
36	0.4369459292
37	0.4366488772
38	0.4354604166
39	0.4347506829
40	0.43442502
41	0.4339431892
42	0.4330867289
43	0.4325680397
44	0.4323152917
45	0.4319921019
46	0.4318435846
47	0.431140519
48	0.4308429747
49	0.4307049638
50	0.4305106284
51	0.4300423907
52	0.4298481779
53	0.4296726663
54	0.429458146
55	0.4292580723
56	0.4290663108
57	0.4289062885
58	0.4285775451
59	0.4281381895
60	0.4280278299
61	0.4279220928
62	0.4276348794
63	0.4274966966
64	0.4273481279
65	0.4272360347
66	0.4271830024
67	0.4271072525
68	0.4268205928
69	0.4262420443
70	0.4261384664
71	0.4256422383
72	0.4256083539
73	0.4254801535
74	0.4253553156
75	0.4252263332
76	0.4250360959
77	0.4248836247
78	0.424769261
79	0.4247431273
80	0.4244816516
81	0.4242499432
82	0.4240211818
83	0.4239501238
84	0.4236807238
85	0.4234114477
86	0.4231716536
87	0.4231268281
88	0.4230939214
89	0.4228908968
90	0.4228622507
91	0.4225711803
92	0.422521635
93	0.4224259205
94	0.4222980476
95	0.4221276758
96	0.4220524746
97	0.4220060198
98	0.4218879377
99	0.4214300863
100	0.42125821
101	0.4212263494
102	0.4211256603
103	0.4210742299
104	0.4209975729
105	0.4208446865
106	0.4206776733
107	0.4203954477
108	0.4202493269
109	0.4201259719
110	0.4200464735
111	0.4197315227
112	0.4196821734
113	0.4195515228
114	0.419260258
115	0.4190996197
116	0.418828639
117	0.418740046
118	0.418541513
119	0.4184747612
120	0.4184141593
121	0.41825409
122	0.4181904424
123	0.4179843658
124	0.4179052292
125	0.4177299268
126	0.417664805
127	0.4176206581
128	0.4176112402
129	0.4175287935
130	0.4174912161
131	0.4173237314
